total polygons,608
2051,"[10196.0, 2753.0, 16, 'r']"
2053,"[10197, 2755, 15, 'e']"
2054,"[10200.0, 2755.0, 15, 'r']"
2056,"[10199.0, 2753.0, 26, 'r']"
2058,"[10229.0, 2695.0, 12, 'r']"
2060,"[10196.0, 2752.0, 14, 'r']"
2062,"[10191.0, 2749.0, 17, 'r']"
2063,"[10243, 2602, 5, 'r']"
2067,"[10193.0, 2753.0, 16, 'r']"
38,"[4199, 1508, 9, 'e']"
150,"[6741, 1506, 10, 'e']"
270,"[6915.0, 353.0, 19, 'r']"
304,"[2304, 2415, 12, 'e']"
313,"[2337, 1738, 14, 'e']"
318,"[1856, 4809, 15, 'e']"
359,"[963, 4269, 13, 'e']"
385,"[1852.0, 4809.0, 15, 'r']"
393,"[2966.0, 1938.0, 13, 'r']"
400,"[964, 4263, 11, 'e']"
411,"[4167.0, 1456.0, 16, 'r']"
425,"[4197.0, 1507.0, 7, 'r']"
481,"[5959.0, 3905.0, 5, 'r']"
500,"[5135.0, 2925.0, 7, 'r']"
522,"[3831.0, 4921.0, 6, 'r']"
545,"[5074, 3034, 21, 'e']"
572,"[3829.0, 4955.0, 46, 'r']"
574,"[3841, 4985, 11, 'e']"
603,"[3524, 7723, 9, 'e']"
624,"[5785.0, 9425.0, 9, 'r']"
628,"[5829.0, 9361.0, 10, 'r']"
631,"[5805, 9352, 8, 'e']"
644,"[6478, 8315, 18, 'e']"
645,"[5782.0, 9424.0, 9, 'r']"
647,"[5840.0, 9365.0, 9, 'r']"
656,"[5796.0, 9431.0, 9, 'r']"
658,"[4483.0, 6442.0, 4, 'r']"
666,"[5808.0, 9352.0, 10, 'r']"
667,"[5816, 9356, 10, 'e']"
668,"[5770.0, 9416.0, 9, 'r']"
669,"[5792.0, 9429.0, 8, 'r']"
688,"[5836.0, 9364.0, 9, 'r']"
689,"[5819.0, 9357.0, 9, 'r']"
708,"[5779.0, 9422.0, 9, 'r']"
712,"[5776.0, 9420.0, 9, 'r']"
713,"[5834, 9363, 9, 'e']"
714,"[5822.0, 9358.0, 10, 'r']"
715,"[5826, 9360, 9, 'e']"
716,"[5812.0, 9354.0, 10, 'r']"
725,"[5773.0, 9418.0, 9, 'r']"
733,"[4149.0, 7711.0, 5, 'r']"
734,"[3743.0, 7634.0, 6, 'r']"
736,"[3906.0, 7675.0, 7, 'r']"
737,"[3521.0, 7682.0, 8, 'r']"
738,"[3523.0, 7737.0, 5, 'r']"
739,"[3720.0, 7495.0, 70, 'r']"
740,"[3821.0, 7467.0, 5, 'r']"
741,"[3823.0, 7467.0, 8, 'r']"
742,"[3823.0, 7693.0, 6, 'r']"
743,"[3515.0, 7682.0, 9, 'r']"
744,"[4141.0, 7372.0, 10, 'r']"
745,"[3718.0, 7434.0, 10, 'r']"
747,"[3750.0, 7763.0, 8, 'r']"
748,"[3819.0, 7465.0, 7, 'r']"
749,"[3926, 7403, 6, 'e']"
750,"[3512.0, 7677.0, 8, 'r']"
751,"[3560.0, 7701.0, 13, 'r']"
754,"[3745.0, 7637.0, 9, 'r']"
755,"[3518.0, 7682.0, 9, 'r']"
756,"[3528.0, 7737.0, 10, 'r']"
757,"[3559.0, 7684.0, 7, 'r']"
759,"[3705.0, 7785.0, 8, 'r']"
760,"[3741.0, 7632.0, 5, 'r']"
761,"[4061.0, 7469.0, 12, 'r']"
762,"[3524.0, 7720.0, 19, 'r']"
763,"[3670.0, 7783.0, 11, 'r']"
764,"[3715.0, 7500.0, 86, 'r']"
765,"[3719.0, 7496.0, 79, 'r']"
766,"[3519, 7677, 10, 'r']"
768,"[3621.0, 7776.0, 8, 'r']"
772,"[3721, 7461, 10, 'r']"
773,"[3721.0, 7647.0, 9, 'r']"
774,"[3724.0, 7649.0, 6, 'r']"
775,"[3771.0, 7589.0, 6, 'r']"
776,"[3907.0, 7676.0, 6, 'r']"
777,"[3516, 7746, 11, 'e']"
778,"[4146.0, 7639.0, 10, 'r']"
779,"[4039, 7675, 6, 'e']"
780,"[3675.0, 7779.0, 6, 'r']"
781,"[3715.0, 7500.0, 5, 'r']"
782,"[3716.0, 7499.0, 74, 'r']"
783,"[3791.0, 7590.0, 7, 'r']"
784,"[3602.0, 7701.0, 13, 'r']"
785,"[3708.0, 7390.0, 7, 'r']"
790,"[4059.0, 7942.0, 8, 'r']"
794,"[4059, 7941, 10, 'e']"
795,"[4312.0, 7334.0, 11, 'r']"
796,"[4115, 7216, 10, 'e']"
797,"[4469, 7860, 6, 'e']"
800,"[5238.0, 6562.0, 10, 'r']"
805,"[3955.0, 7249.0, 6, 'r']"
806,"[4058.0, 7945.0, 9, 'r']"
807,"[4113.0, 7215.0, 9, 'r']"
817,"[4058.0, 7944.0, 8, 'r']"
831,"[5561.0, 6599.0, 9, 'r']"
836,"[4562.0, 7917.0, 7, 'r']"
839,"[4051.0, 5710.0, 9, 'r']"
840,"[4152.0, 5858.0, 18, 'r']"
842,"[4020, 5742, 9, 'e']"
843,"[3845.0, 5076.0, 6, 'r']"
848,"[4078, 5405, 12, 'e']"
850,"[4094.0, 5722.0, 5, 'r']"
852,"[4134, 5868, 12, 'e']"
853,"[4019.0, 5750.0, 6, 'r']"
856,"[4912, 5930, 15, 'e']"
859,"[4824.0, 5796.0, 18, 'r']"
861,"[4086.0, 5746.0, 6, 'r']"
864,"[4780, 6118, 17, 'e']"
865,"[3882, 5313, 14, 'e']"
866,"[4075.0, 5415.0, 11, 'r']"
867,"[4018.0, 5748.0, 5, 'r']"
868,"[4042.0, 5708.0, 7, 'r']"
871,"[4834.0, 6236.0, 8, 'r']"
872,"[3949, 5059, 16, 'e']"
873,"[4835.0, 6235.0, 8, 'r']"
877,"[4072.0, 5703.0, 5, 'r']"
878,"[4232.0, 5869.0, 9, 'r']"
883,"[4694.0, 5738.0, 8, 'r']"
885,"[3907, 5587, 16, 'e']"
887,"[4065.0, 5697.0, 5, 'r']"
890,"[5816.0, 9355.0, 7, 'r']"
900,"[4630.0, 8453.0, 7, 'r']"
901,"[5228.0, 8635.0, 6, 'r']"
904,"[4456.0, 8372.0, 8, 'r']"
905,"[5776.0, 9420.0, 11, 'r']"
906,"[5829.0, 9361.0, 7, 'r']"
915,"[4633.0, 8453.0, 7, 'r']"
918,"[5773.0, 9418.0, 9, 'r']"
920,"[5805.0, 9351.0, 7, 'r']"
923,"[6477.0, 8314.0, 7, 'r']"
926,"[4621.0, 8472.0, 5, 'r']"
928,"[4628.0, 8449.0, 7, 'r']"
931,"[4631, 8464, 7, 'e']"
936,"[5779.0, 9422.0, 9, 'r']"
939,"[5796.0, 9431.0, 9, 'r']"
940,"[4679.0, 8470.0, 7, 'r']"
941,"[4632.0, 8458.0, 7, 'r']"
944,"[5840.0, 9365.0, 7, 'r']"
945,"[5770.0, 9416.0, 9, 'r']"
946,"[6792, 9434, 9, 'e']"
947,"[5822.0, 9358.0, 7, 'r']"
950,"[4615.0, 8470.0, 7, 'r']"
952,"[5834.0, 9362.0, 7, 'r']"
953,"[5801.0, 9350.0, 9, 'r']"
958,"[4647.0, 8432.0, 7, 'r']"
964,"[4629.0, 8468.0, 7, 'r']"
965,"[4620.0, 8467.0, 7, 'r']"
975,"[6327.0, 8195.0, 6, 'r']"
976,"[5247, 8910, 6, 'e']"
977,"[5792.0, 9429.0, 8, 'r']"
979,"[4668.0, 8422.0, 7, 'r']"
980,"[4606, 8500, 6, 'e']"
982,"[5819.0, 9357.0, 7, 'r']"
985,"[5782.0, 9424.0, 9, 'r']"
987,"[4623.0, 8448.0, 7, 'r']"
989,"[5808.0, 9352.0, 7, 'r']"
991,"[5825.0, 9359.0, 7, 'r']"
992,"[5785.0, 9425.0, 9, 'r']"
993,"[5199.0, 8227.0, 7, 'r']"
1001,"[4671.0, 8422.0, 7, 'r']"
1004,"[5812.0, 9354.0, 7, 'r']"
1006,"[5836.0, 9364.0, 7, 'r']"
1014,"[6580.0, 8887.0, 12, 'r']"
1016,"[5840.0, 9454.0, 5, 'r']"
1018,"[6626.0, 9152.0, 6, 'r']"
1019,"[6740.0, 9165.0, 6, 'r']"
1022,"[6827.0, 9253.0, 5, 'r']"
1023,"[6792.0, 9301.0, 5, 'r']"
1027,"[7818.0, 9612.0, 7, 'r']"
1029,"[8326, 9515, 9, 'e']"
1034,"[8422.0, 9578.0, 9, 'r']"
1036,"[6756.0, 9264.0, 6, 'r']"
1037,"[6747.0, 9259.0, 5, 'r']"
1039,"[6856.0, 9253.0, 6, 'r']"
1040,"[8041.0, 9363.0, 4, 'r']"
1041,"[7684.0, 9373.0, 8, 'r']"
1042,"[7918.0, 9418.0, 5, 'r']"
