total polygons,890
1,"[4562.0, 1003.0, 11, 'r']"
2051,"[6797.0, 1836.0, 16, 'r']"
2053,"[6797.0, 1837.0, 15, 'r']"
2054,"[6800.0, 1837.0, 15, 'r']"
2056,"[6799.0, 1836.0, 26, 'r']"
9,"[4183.0, 612.0, 13, 'r']"
2058,"[6820.0, 1797.0, 12, 'r']"
11,"[3705.0, 1380.0, 17, 'r']"
2060,"[6797.0, 1835.0, 14, 'r']"
2061,"[6822.0, 1825.0, 34, 'r']"
2062,"[6794.0, 1834.0, 17, 'r']"
2063,"[6827.0, 1735.0, 5, 'r']"
17,"[4042.0, 1310.0, 14, 'r']"
2067,"[6796.0, 1836.0, 16, 'r']"
2068,"[6817.0, 1777.0, 22, 'r']"
2070,"[6787.0, 1837.0, 25, 'r']"
31,"[4021.0, 933.0, 12, 'r']"
38,"[2799.0, 1006.0, 9, 'r']"
51,"[4869, 385, 12, 'e']"
2057,"[6824, 1823, 24, 'e']"
73,"[3088.0, 299.0, 11, 'r']"
85,"[3453.0, 1654.0, 11, 'r']"
93,"[4617, 799, 13, 'e']"
95,"[3937, 920, 12, 'e']"
115,"[3216.0, 667.0, 8, 'r']"
121,"[4594, 582, 13, 'e']"
134,"[4547.0, 991.0, 14, 'r']"
135,"[4590.0, 597.0, 11, 'r']"
147,"[3087.0, 292.0, 12, 'r']"
150,"[4493.0, 1004.0, 10, 'r']"
159,"[4531.0, 1396.0, 17, 'r']"
162,"[4587, 383, 14, 'e']"
186,"[5823, 1166, 22, 'e']"
214,"[4222, 556, 12, 'e']"
227,"[3901.0, 1504.0, 16, 'r']"
240,"[4550.0, 1329.0, 14, 'r']"
243,"[4109, 495, 15, 'e']"
246,"[4008.0, 1231.0, 13, 'r']"
255,"[3938.0, 912.0, 13, 'r']"
256,"[3019, 1583, 12, 'e']"
259,"[4198.0, 400.0, 13, 'r']"
263,"[4202, 609, 14, 'e']"
267,"[3067, 847, 14, 'e']"
270,"[4610.0, 236.0, 19, 'r']"
272,"[4737, 337, 19, 'e']"
277,"[3414.0, 1833.0, 15, 'r']"
295,"[3087, 288, 12, 'e']"
299,"[4271.0, 554.0, 14, 'r']"
304,"[1536, 1611, 12, 'e']"
309,"[1551.0, 1154.0, 17, 'r']"
313,"[1557.0, 1159.0, 14, 'r']"
314,"[2510.0, 805.0, 23, 'r']"
315,"[175.0, 2135.0, 19, 'r']"
317,"[1222.0, 3362.0, 5, 'r']"
318,"[1237.0, 3206.0, 15, 'r']"
321,"[1396, 1226, 27, 'e']"
322,"[1555.0, 1146.0, 15, 'r']"
329,"[2343, 1020, 14, 'e']"
337,"[1239.0, 3206.0, 16, 'r']"
340,"[1699.0, 1086.0, 16, 'r']"
343,"[1213, 2288, 19, 'e']"
351,"[356.0, 1806.0, 19, 'r']"
352,"[1550, 1155, 17, 'e']"
353,"[442, 2416, 25, 'e']"
359,"[642, 2847, 13, 'e']"
363,"[2612, 1124, 16, 'e']"
366,"[2099, 1252, 19, 'e']"
373,"[2612.0, 1119.0, 17, 'r']"
383,"[1194, 3031, 35, 'e']"
385,"[1235.0, 3206.0, 15, 'r']"
387,"[1196.0, 3029.0, 15, 'r']"
393,"[1978, 1294, 13, 'e']"
399,"[370, 2318, 15, 'e']"
400,"[642.0, 2842.0, 11, 'r']"
401,"[1227, 3360, 9, 'e']"
406,"[623, 2748, 11, 'e']"
411,"[2778.0, 971.0, 16, 'r']"
413,"[997.0, 2813.0, 19, 'r']"
415,"[839.0, 2905.0, 14, 'r']"
417,"[1555, 1151, 18, 'e']"
422,"[1553.0, 1149.0, 19, 'r']"
425,"[2799, 1007, 7, 'e']"
429,"[880, 2768, 20, 'e']"
