total polygons,1219
1,"[2737.0, 602.0, 11, 'r']"
2050,"[4087.0, 1074.0, 50, 'r']"
2051,"[4078.0, 1102.0, 16, 'r']"
2052,"[4071.0, 1104.0, 36, 'r']"
2053,"[4078.0, 1102.0, 15, 'r']"
2054,"[4080.0, 1102.0, 15, 'r']"
2055,"[4089.0, 1074.0, 43, 'r']"
2056,"[4080.0, 1102.0, 26, 'r']"
9,"[2510.0, 367.0, 13, 'r']"
2058,"[4092.0, 1078.0, 12, 'r']"
11,"[2223.0, 828.0, 17, 'r']"
2060,"[4078.0, 1101.0, 14, 'r']"
2061,"[4093.0, 1095.0, 34, 'r']"
2062,"[4076.0, 1100.0, 17, 'r']"
2063,"[4096.0, 1041.0, 5, 'r']"
2064,"[4081, 1025, 29, 'r']"
17,"[2425.0, 786.0, 14, 'r']"
18,"[2051.0, 1097.0, 13, 'r']"
19,"[2159, 1129, 16, 'e']"
2068,"[4090.0, 1066.0, 22, 'r']"
2070,"[4072.0, 1102.0, 25, 'r']"
25,"[1854, 172, 18, 'e']"
30,"[2464.0, 302.0, 13, 'r']"
31,"[2413.0, 560.0, 12, 'r']"
33,"[2396.0, 670.0, 15, 'r']"
38,"[1680, 604, 9, 'e']"
41,"[2691.0, 950.0, 16, 'r']"
42,"[2751, 229, 16, 'e']"
43,"[2484.0, 581.0, 23, 'r']"
50,"[1852.0, 174.0, 15, 'r']"
51,"[2921.0, 230.0, 12, 'r']"
55,"[2783.0, 485.0, 14, 'r']"
57,"[2838.0, 395.0, 15, 'r']"
64,"[2741, 1025, 23, 'e']"
2059,"[4113.0, 1105.0, 17, 'r']"
73,"[1853.0, 180.0, 11, 'r']"
79,"[2758, 480, 14, 'e']"
82,"[2102, 973, 21, 'e']"
85,"[2072.0, 993.0, 11, 'r']"
93,"[2770.0, 479.0, 13, 'r']"
95,"[2362, 552, 12, 'e']"
99,"[1684.0, 181.0, 17, 'r']"
102,"[2753, 448, 14, 'e']"
109,"[2512.0, 1077.0, 18, 'r']"
115,"[1929.0, 400.0, 8, 'r']"
116,"[2722, 828, 15, 'e']"
118,"[2878, 748, 13, 'e']"
121,"[2756.0, 348.0, 13, 'r']"
126,"[1685, 191, 8, 'e']"
129,"[2468.0, 259.0, 14, 'r']"
134,"[2728.0, 594.0, 14, 'r']"
135,"[2754.0, 358.0, 11, 'r']"
136,"[3511.0, 679.0, 19, 'r']"
145,"[2761.0, 158.0, 17, 'r']"
146,"[2464.0, 325.0, 13, 'r']"
147,"[1852.0, 175.0, 12, 'r']"
149,"[2716.0, 822.0, 16, 'r']"
150,"[2696.0, 602.0, 10, 'r']"
159,"[2719, 838, 17, 'e']"
160,"[2729, 844, 15, 'e']"
162,"[2751.0, 229.0, 14, 'r']"
163,"[2543, 293, 15, 'e']"
165,"[2510.0, 1076.0, 23, 'r']"
167,"[2434.0, 677.0, 14, 'r']"
169,"[2448.0, 303.0, 23, 'r']"
172,"[2650, 604, 16, 'e']"
181,"[2492.0, 459.0, 13, 'r']"
183,"[2764.0, 470.0, 16, 'r']"
186,"[3494, 700, 22, 'e']"
188,"[2074, 988, 13, 'e']"
190,"[2733, 1122, 16, 'e']"
191,"[2480.0, 588.0, 18, 'r']"
196,"[2662, 703, 12, 'e']"
200,"[2476.0, 525.0, 15, 'r']"
203,"[3272.0, 458.0, 14, 'r']"
206,"[1929.0, 401.0, 9, 'r']"
209,"[2448.0, 305.0, 13, 'r']"
214,"[2533, 334, 12, 'e']"
216,"[2379.0, 550.0, 14, 'r']"
219,"[2761.0, 156.0, 14, 'r']"
227,"[2341.0, 902.0, 16, 'r']"
232,"[2755.0, 485.0, 13, 'r']"
237,"[2182.0, 886.0, 13, 'r']"
240,"[2731, 798, 14, 'e']"
