total polygons,47
2029,"[5802.0, 18205.0, 9, 'r']"
1037,"[26988.0, 37040.0, 5, 'r']"
782,"[14866.0, 29997.0, 74, 'r']"
1167,"[33644.0, 38171.0, 4, 'r']"
1040,"[32164.0, 37453.0, 4, 'r']"
1042,"[31671.0, 37673.0, 5, 'r']"
1684,"[17670.0, 10152.0, 6, 'r']"
1685,"[16582.0, 9845.0, 5, 'r']"
1690,"[17695.0, 10410.0, 5, 'r']"
1063,"[27201.0, 37002.0, 5, 'r']"
1201,"[27253.0, 37017.0, 5, 'r']"
1749,"[17034.0, 23795.0, 5, 'r']"
1717,"[17612.0, 10238.0, 5, 'r']"
1207,"[31259.0, 37448.0, 5, 'r']"
952,"[23334.0, 37452.0, 7, 'r']"
953,"[23204.0, 37400.0, 9, 'r']"
1086,"[27270.0, 37014.0, 7, 'r']"
1087,"[27205.0, 37005.0, 5, 'r']"
1732,"[17325.0, 24930.0, 16, 'r']"
1991,"[4620.0, 15271.0, 9, 'r']"
1096,"[31695.0, 37665.0, 5, 'r']"
1098,"[33236.0, 37892.0, 5, 'r']"
1743,"[16357.0, 24958.0, 5, 'r']"
1208,"[31691.0, 37674.0, 5, 'r']"
850,"[16377.0, 22891.0, 5, 'r']"
1763,"[17401.0, 24916.0, 5, 'r']"
1166,"[33645.0, 38170.0, 6, 'r']"
1367,"[21004.0, 24533.0, 5, 'r']"
1241,"[23767.0, 15710.0, 6, 'r']"
1371,"[21003.0, 24537.0, 5, 'r']"
989,"[23233.0, 37412.0, 7, 'r']"
1374,"[21012.0, 24524.0, 5, 'r']"
991,"[23302.0, 37439.0, 7, 'r']"
1147,"[27949.0, 36966.0, 7, 'r']"
742,"[15293.0, 30773.0, 6, 'r']"
1361,"[20571.0, 28326.0, 26, 'r']"
1384,"[21022.0, 24512.0, 7, 'r']"
1770,"[16388.0, 24951.0, 6, 'r']"
1772,"[16395.0, 24949.0, 5, 'r']"
658,"[17933.0, 25770.0, 4, 'r']"
1006,"[23346.0, 37456.0, 7, 'r']"
1768,"[17385.0, 25146.0, 6, 'r']"
1143,"[26945.0, 37046.0, 5, 'r']"
1016,"[23359.0, 37819.0, 5, 'r']"
763,"[14680.0, 31134.0, 11, 'r']"
764,"[14860.0, 30003.0, 86, 'r']"
1023,"[27167.0, 37208.0, 5, 'r']"
